Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SC 01 - Basic Operations Int,,,,2023-07-17 16:33:35,2023-07-17 16:41:28,7m - 52.947s,PASSED
,,,,,,,
Test Cases/SC01 - Basic Operations (int)/TC001 - Basic Operation - Additional (Int),,,,2023-07-17 16:33:36,2023-07-17 16:35:47,2m - 11.889s,PASSED
"startApplication(""C:\Users\zaena\Desktop\Calculator_v8.1.apk"", true)",,,,2023-07-17 16:33:36,2023-07-17 16:33:44,8.688s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 1""), 0)",,,,2023-07-17 16:33:44,2023-07-17 16:33:55,10.363s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 2""), 0)",,,,2023-07-17 16:33:55,2023-07-17 16:34:05,10.213s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 3""), 0)",,,,2023-07-17 16:34:05,2023-07-17 16:34:15,10.149s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 4""), 0)",,,,2023-07-17 16:34:15,2023-07-17 16:34:25,10.183s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/Button (additional operation)""), 0)",,,,2023-07-17 16:34:25,2023-07-17 16:34:36,10.185s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 5""), 0)",,,,2023-07-17 16:34:36,2023-07-17 16:34:46,10.181s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 6""), 0)",,,,2023-07-17 16:34:46,2023-07-17 16:34:56,10.164s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 7""), 0)",,,,2023-07-17 16:34:56,2023-07-17 16:35:06,10.226s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 8""), 0)",,,,2023-07-17 16:35:06,2023-07-17 16:35:16,10.157s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 9""), 0)",,,,2023-07-17 16:35:16,2023-07-17 16:35:26,10.166s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/android.widget.Button - 0""), 0)",,,,2023-07-17 16:35:26,2023-07-17 16:35:37,10.154s,PASSED
"tap(findTestObject(""Object Repository/Main Calc Button/Button Result""), 0)",,,,2023-07-17 16:35:37,2023-07-17 16:35:47,10.249s,PASSED
closeApplication(),,,,2023-07-17 16:35:47,2023-07-17 16:35:47,0.577s,PASSED
,,,,,,,
